Time,Temperature (° F),,,Dew Point (° F),,,Humidity (%),,,Wind Speed (mph),,,Pressure (Hg),,
02-11-2013,86,74.7,0,68,65.3,0,94,72.4,0,15,5.5,0,27,26.4,0
03-11-2013,86,73.4,0,72,66.7,0,94,79.4,0,21,5.4,0,27,26.4,0
04-11-2013,84,75.1,68,68,65.5,63,94,73.8,51,15,7.3,0,27,26.9,26.9
05-11-2013,82,70.8,0,66,61,0,94,69.3,0,12,5.5,0,27,25.9,0
06-11-2013,84,74,66,66,63.6,59,94,72.3,45,13,5.6,2,27,26.9,26.9
07-11-2013,86,75.9,68,66,62.6,59,88,65.8,40,9,5.1,0,27,26.9,26.8
08-11-2013,84,72.2,64,64,60.5,57,94,68.1,42,9,2.2,0,27,26.9,26.8
09-11-2013,84,72,64,63,59.5,57,94,67.3,40,8,3.1,0,27,26.9,26.8
10-11-2013,86,71.8,64,64,60.5,57,94,70.1,37,9,2.5,0,26.9,26.9,26.8
11-11-2013,84,72.8,64,66,61.3,57,94,69.8,40,7,0.9,0,26.9,26.4,0
12-11-2013,86,72.7,0,64,61.5,0,88,67,0,5,0.7,0,26.9,26.3,0
13-11-2013,84,71,0,63,58.5,0,94,64.4,0,9,1.8,0,26.9,26.3,0
14-11-2013,84,72.5,61,61,56.7,54,83,60,39,9,1.3,0,26.9,26.9,26.8
15-11-2013,82,70.5,0,64,56.8,0,94,63.9,0,9,5.2,0,26.9,26.3,0
16-11-2013,73,68.6,66,68,65.8,63,100,91.8,73,13,8.2,5,26.9,26.9,26.8
17-11-2013,79,71.2,66,73,68.9,66,100,93.2,65,15,8.4,3,26.9,26.9,26.8
18-11-2013,82,72.4,64,75,69.5,64,100,91.3,70,12,5.5,0,27,26.9,26.9
19-11-2013,84,73.4,64,70,65.9,59,100,80.3,48,9,4.1,0,27,26.9,26.8
20-11-2013,84,72.3,61,73,61.2,52,100,72.7,35,9,2.4,0,26.9,26.8,26.8
21-11-2013,88,72.6,61,66,60.4,50,100,70.5,30,7,2.4,0,26.9,26.8,26.7
22-11-2013,86,74.3,61,70,63.6,52,100,74.3,33,8,3.4,0,26.9,26.8,26.8
23-11-2013,84,73,68,73,70.1,64,100,92,51,12,5.1,1,26.9,26.9,26.8
24-11-2013,81,74.1,68,72,69.7,64,100,87.2,58,10,5.7,1,27,26.9,26.8
25-11-2013,82,74.2,68,72,68.5,63,100,84.2,51,8,3.2,0,26.9,26.9,26.8
26-11-2013,84,74.2,66,72,67.3,63,100,81.9,48,10,3.6,0,26.9,26.9,26.8
27-11-2013,82,73.9,64,72,64.4,57,100,75.5,42,12,4.5,0,26.9,26.9,26.8
28-11-2013,82,72.8,64,68,58.8,46,100,66.8,28,9,3.3,0,26.9,26.9,26.8
29-11-2013,82,72.7,64,70,65.8,59,100,81.8,45,8,4.9,0,27,26.9,26.8
30-11-2013,84,76.6,70,70,62.8,55,94,65.3,37,8,5.6,1,27,26.9,26.8
01-12-2013,84,74.1,70,73,70.1,66,100,88.8,55,14,6.1,0,27,26.9,26.9
02-12-2013,84,73.5,68,72,68.9,63,100,87.1,51,12,6.1,2,27,26.9,26.9
03-12-2013,84,73.5,66,72,64.8,57,100,77.2,40,13,6.4,0,26.9,26.9,26.8
04-12-2013,82,72.2,63,70,66.1,63,100,83.2,51,15,7.7,2,26.9,26.9,26.8
05-12-2013,81,71.8,64,68,62.1,57,100,75,45,16,7.4,1,26.9,26.9,26.8
06-12-2013,81,71.7,64,66,59.7,54,100,69.1,39,12,5.5,0,26.9,26.8,26.8
07-12-2013,79,71.2,64,66,62.3,57,100,75.7,47,10,4.7,0,26.9,26.8,26.8
08-12-2013,82,73.4,63,68,64.5,63,100,75.9,51,13,5.8,0,26.9,26.8,26.8
09-12-2013,82,72.2,59,66,56.9,48,100,62.9,30,10,4.2,0,26.9,26.8,26.7
10-12-2013,84,71.6,57,61,48.8,34,100,52.8,18,9,3.5,0,26.9,26.8,26.7
11-12-2013,84,75.2,59,64,48.9,39,94,45.7,20,10,4.1,0,26.9,26.8,26.8
12-12-2013,77,73.6,70,72,67.6,63,100,81.9,69,17,9.3,3,26.9,26.8,26.8
13-12-2013,84,75.3,68,73,69.6,63,100,84.1,51,16,8.7,2,26.9,26.9,26.8
14-12-2013,84,76.8,72,73,69.1,64,100,79.3,51,9,4.5,1,26.9,26.9,26.8
15-12-2013,86,74.1,59,70,55.2,43,100,58.3,23,9,4.7,0,26.9,26.9,26.8
16-12-2013,84,71.1,59,59,51.5,37,100,57,20,10,4.4,0,27,26.9,26.9
17-12-2013,82,69.7,57,64,59.4,55,100,73.6,42,9,4.7,0,26.9,26.9,26.8
18-12-2013,81,72.7,63,66,59.7,54,100,67.4,39,10,5.5,1,26.9,26.9,26.8
19-12-2013,82,71,61,66,58.8,50,100,68.9,32,7,3.2,1,26.9,26.9,26.8
20-12-2013,86,73.6,63,64,58,46,100,63.2,25,6,2.5,0,27,26.9,26.9
21-12-2013,86,73.4,61,64,58.7,52,100,65.7,31,7,4.5,1,27,26.9,26.9
22-12-2013,82,71.6,61,66,62.3,57,100,75.7,42,12,6.3,2,27,26.9,26.9
23-12-2013,82,71.1,63,64,62.7,59,100,77,48,14,7.7,2,27,27,26.9
24-12-2013,82,71.8,64,70,63.4,59,100,77.6,45,17,8.4,3,27,27,26.9
25-12-2013,84,74.5,63,70,63.6,59,100,72.3,42,9,4.8,0,27,27,26.9
26-12-2013,84,73.2,61,66,60,54,100,67.6,35,10,5.8,0,27,26.9,26.9
27-12-2013,84,74.1,61,68,61.6,57,100,68.7,40,13,6.2,1,27,26.9,26.9
28-12-2013,86,74.8,66,70,63.7,57,100,72.1,37,9,5.7,0,27,26.9,26.9
29-12-2013,84,74.2,64,68,63.7,57,100,72.6,42,10,6.5,3,27,26.9,26.9
30-12-2013,84,74.2,63,66,60.5,52,100,67.2,33,10,6.7,2,27,26.9,26.9
31-12-2013,84,74.5,61,68,61.2,57,100,66.7,40,12,7.2,2,27,26.9,26.9
01-01-2014,84,74.4,68,72,65.2,61,100,75.4,45,14,7.8,3,27,26.9,26.9
02-01-2014,84,74.5,63,70,64.1,61,100,72.2,45,9,5.5,0,27,26.9,26.9
03-01-2014,86,74.4,63,68,64.8,63,100,74.8,45,9,5.8,1,27,26.9,26.9
04-01-2014,90,75.6,63,66,54.7,41,100,56.5,18,12,5.7,2,27,26.9,26.9
05-01-2014,90,76.8,63,70,59.2,48,100,61,24,10,4.3,0,27,26.9,26.8
06-01-2014,91,78.4,61,68,54.4,43,100,52.5,20,12,5.7,1,26.9,26.9,26.8
07-01-2014,88,75.1,64,66,59,48,100,64.3,25,13,6.9,3,27,26.9,26.9
08-01-2014,86,75.4,64,70,63.2,57,100,70,37,13,8.1,2,27,26.9,26.9
09-01-2014,88,76,64,70,64.2,59,100,71,38,14,6.8,2,27,26.9,26.8
10-01-2014,86,76.3,68,70,65.3,59,100,73.8,40,6,5.5,5,27,26.9,26.9
11-01-2014,90,77.7,64,66,58.9,52,100,58.2,27,8,5,0,27,26.9,26.9
12-01-2014,91,78.8,66,68,58.3,46,100,60.5,21,9,4.2,1,27,26.9,26.9
13-01-2014,90,77.3,66,68,59.9,52,100,60.4,29,12,6.8,2,27,26.9,26.9
14-01-2014,88,77.6,66,68,59.9,52,100,59.8,29,10,6.8,1,27,26.9,26.9
15-01-2014,88,77.3,66,70,61.8,55,100,63.9,33,8,5.5,2,27,27,26.9
16-01-2014,88,77.5,68,72,66,61,100,71.4,40,10,6.3,2,27,27,26.9
17-01-2014,88,77.1,66,70,64,57,100,68,35,9,6.8,0,27,27,26.9
18-01-2014,88,77.5,66,70,63.2,57,100,65.1,35,10,7,3,27,27,26.9
19-01-2014,86,76.5,68,70,66.5,59,100,74.5,40,13,7.6,2,27.1,27,26.9
20-01-2014,86,75,64,68,63.6,59,100,70.5,43,16,8.6,2,27.1,27,26.9
21-01-2014,84,74.8,64,70,62.3,57,100,67.7,40,14,9.8,3,27.1,27,26.9
22-01-2014,84,74.1,64,68,61.9,57,100,68.7,40,15,7.5,1,27,27,26.9
23-01-2014,88,76.3,63,70,61.9,55,100,65.5,33,9,6.3,1,27,27,26.9
24-01-2014,88,77,68,70,64.4,59,100,69.1,38,9,5.7,2,27,26.9,26.9
25-01-2014,88,75.8,64,70,62.5,57,100,67.7,35,13,6.5,0,27,26.9,26.8
26-01-2014,86,76.1,63,66,61.1,57,100,63.7,37,18,9.3,1,27,26.9,26.9
27-01-2014,84,74.2,63,66,61.4,57,100,68.5,40,17,8.3,0,27,26.9,26.9
28-01-2014,86,74.8,61,68,59.9,52,100,65,33,14,6.9,0,27,26.9,26.9
29-01-2014,88,75,64,68,60.6,52,100,66.4,29,9,5.5,0,27,26.9,26.9
30-01-2014,86,75,64,66,61.5,57,100,67.2,37,8,6,2,27,26.9,26.9
31-01-2014,88,78.4,63,70,55.6,48,100,50.8,27,10,6.3,0,27,26.9,26.9
01-02-2014,88,77.8,66,70,64.5,57,100,67.2,35,12,6.4,0,27,26.9,26.9
02-02-2014,88,77.1,66,68,63.3,57,100,66.4,35,12,7,1,27,26.9,26.8
03-02-2014,91,78.5,64,66,57.3,46,100,55.1,21,10,4.5,0,26.9,26.9,26.8
04-02-2014,91,78.6,64,68,56.2,48,100,50.9,23,10,4.6,0,26.9,26.8,26.8
05-02-2014,93,77.5,61,61,49.3,37,94,44.4,14,9,3.3,0,26.9,26.8,26.8
06-02-2014,91,77.2,61,55,48.5,39,82,42.8,16,10,4.4,0,26.9,26.9,26.8
07-02-2014,91,78.1,59,57,47.3,36,88,40.8,15,10,5,0,26.9,26.9,26.8
08-02-2014,93,77.6,63,57,47.7,39,82,40.9,16,12,4.8,0,26.9,26.8,26.8
09-02-2014,93,78.8,61,57,50.5,43,82,42.1,17,8,3.5,0,26.9,26.8,26.8
10-02-2014,93,79.9,68,68,57.2,52,78,48.9,26,7,3.8,0,26.9,26.8,26.8
11-02-2014,91,78.7,66,64,54.9,45,83,50.1,23,12,5.2,1,26.9,26.8,26.7
12-02-2014,90,80,66,64,56.8,48,88,50,24,12,5.6,1,26.9,26.8,26.8
13-02-2014,90,80.9,70,72,64.2,59,100,60.5,36,10,6.4,2,26.9,26.9,26.8
14-02-2014,91,80.3,72,72,66.8,57,100,67.3,31,9,4.7,2,26.9,26.9,26.8
15-02-2014,90,81.6,70,72,66.4,57,100,63.2,33,7,4,1,26.9,26.8,26.8
16-02-2014,88,80.4,72,72,62.3,61,89,54.9,40,8,3.5,1,26.9,26.9,26.8
17-02-2014,91,81.1,72,73,64.1,54,100,61.4,28,13,6.4,1,27,26.9,26.8
18-02-2014,88,80,72,73,68.9,64,100,71.3,46,15,9.3,3,27,26.9,26.9
19-02-2014,90,79.4,72,72,67.2,61,100,68.7,40,13,7.1,2,27,26.9,26.9
20-02-2014,88,77,70,72,67.2,61,100,74.5,43,10,6.5,3,27,26.9,26.9
21-02-2014,91,79.4,68,70,66.6,63,100,67.8,38,13,5.4,1,27,26.9,26.8
22-02-2014,93,79.1,68,70,62.8,55,100,62.8,28,7,5.3,3,27,26.9,26.8
23-02-2014,91,78.7,68,68,60.8,52,100,59.9,27,9,6.1,1,27,26.9,26.9
24-02-2014,90,78.7,68,73,67.3,52,94,71.8,31,16,9.9,6,27,26.9,26.9
25-02-2014,88,79.2,73,72,67.9,63,94,70,43,14,8.8,5,27,26.9,26.9
26-02-2014,93,80.8,70,70,60.8,45,94,56.6,19,9,6.8,1,27,26.9,26.8
27-02-2014,93,81.2,68,72,59.8,48,100,54.9,21,10,5.6,1,27,26.9,26.8
28-02-2014,93,82.9,72,73,67.5,61,100,63.5,36,13,7.4,2,27,26.9,26.8
01-03-2014,90,80.8,73,73,71.1,66,100,74.4,49,10,6.4,0,26.9,26.9,26.8
02-03-2014,93,82.1,73,75,69.1,59,100,69.8,32,13,6.3,1,26.9,26.9,26.8
03-03-2014,90,80.3,75,73,69.5,64,94,71.5,46,14,9.2,6,26.9,26.9,26.8
04-03-2014,90,80.4,73,73,68.7,64,94,69.9,43,10,7.4,3,27,26.9,26.8
05-03-2014,91,81.1,75,72,68.9,61,89,68.7,36,12,8.2,2,27,26.9,26.8
06-03-2014,91,80.7,73,75,69.2,63,100,70.6,38,12,6.8,2,27,26.9,26.8
07-03-2014,90,78.8,72,73,70.7,64,100,78.6,46,14,7.8,2,27,26.9,26.8
08-03-2014,91,79.9,70,73,66.3,54,100,68.6,28,10,7,1,27,26.9,26.9
09-03-2014,91,80.8,70,70,63.6,55,100,59.8,31,14,8.6,3,27,26.9,26.9
10-03-2014,91,81,73,72,65.5,55,94,63,29,14,7.8,1,27,26.9,26.9
11-03-2014,91,80.3,72,70,62.1,54,94,57.8,31,14,8,2,27,26.9,26.9
12-03-2014,93,80.8,68,68,57.5,50,94,48.7,24,18,9.1,0,27,26.9,26.9
13-03-2014,93,80.3,64,63,52.9,43,88,44.8,20,16,7.3,0,27,26.9,26.9
14-03-2014,95,81,64,64,52.5,43,88,43.1,17,16,8.3,0,27,26.9,26.9
15-03-2014,95,80.4,63,61,50.4,37,88,43.7,13,16,7.4,0,27,27,26.9
16-03-2014,97,83.2,64,64,54.5,45,83,44,17,17,7.7,0,27,26.4,0
17-03-2014,97,83.9,66,64,53.1,39,94,41.8,14,13,6.2,0,27,27,26.9
18-03-2014,99,84.3,68,63,47.9,32,83,34.9,10,12,5.7,0,27,26.9,26.9
19-03-2014,99,84.9,66,68,49.7,36,78,37.4,11,12,5.4,0,27,26.9,26.9
20-03-2014,99,86.9,68,72,52.5,39,88,38.4,13,13,5.5,0,27,26.3,0
21-03-2014,99,86.5,70,72,55.5,43,88,40.6,15,12,4.4,0,26.9,26.8,26.8
22-03-2014,97,86.4,75,70,60.5,52,78,44.3,22,9,4.5,1,26.9,26.8,26.8
23-03-2014,99,87,73,68,57.5,50,74,40.5,19,13,6.9,1,26.9,26.9,26.8
24-03-2014,99,85.4,68,68,48.3,34,83,35.3,10,15,6.2,0,26.9,26.9,26.8
25-03-2014,100,85.7,68,61,52.4,43,78,37.1,14,16,6.2,0,26.9,26.9,26.8
26-03-2014,99,84.5,68,63,51.4,37,83,39.4,12,17,8.2,0,26.9,26.3,0
27-03-2014,99,84.1,66,64,49.3,36,88,37,12,16,6.8,0,27,26.9,26.8
28-03-2014,97,85,68,61,48.4,39,78,32.8,14,16,6.8,0,27,26.9,26.8
29-03-2014,100,87,70,59,50.4,43,64,32.3,14,15,6.6,1,26.9,26.9,26.8
30-03-2014,100,88.6,70,61,53.7,48,68,33.8,17,13,6.4,0,26.9,26.9,26.8
31-03-2014,100,89.9,73,66,54.4,46,65,33,17,10,4.7,0,26.9,26.9,26.8
01-04-2014,100,87.2,72,75,58.3,50,79,41.7,18,10,4.8,0,26.9,26.8,26.7
02-04-2014,100,88,0,77,57.5,0,84,37,0,12,5.3,0,26.9,26.3,0
03-04-2014,100,88.3,77,73,59.9,48,79,43.5,17,14,6.6,0,26.9,26.8,26.8
04-04-2014,100,85.2,0,70,51.9,0,83,36.3,0,13,5.5,1,26.9,26.3,0
05-04-2014,100,87.8,73,66,54.6,43,69,36.9,14,14,5.5,0,26.9,26.9,26.8
06-04-2014,100,88.4,72,73,56.3,37,83,41.6,11,17,6.9,0,26.9,26.3,0
07-04-2014,100,87.9,73,73,55.1,43,89,38.4,14,13,5.9,0,27,26.9,26.8
08-04-2014,102,90.1,73,75,58.5,41,89,40.3,12,15,7,1,27,26.9,26.8
09-04-2014,97,83.4,70,73,67.2,59,100,62.9,28,24,8.8,1,27,26.9,26.8
10-04-2014,97,84.1,73,75,67.6,54,94,61.8,23,12,4.6,1,26.9,26.9,26.8
11-04-2014,99,86.9,73,75,67.4,57,100,57.1,25,13,5.7,1,26.9,26.9,26.8
12-04-2014,95,85.4,77,75,69.1,61,89,60.7,32,13,5.3,1,26.9,26.8,26.8
13-04-2014,97,86.8,75,77,69,59,94,58.6,28,14,5.1,0,26.9,26.9,26.8
14-04-2014,99,87.3,77,79,67,0,100,56.9,0,10,5.7,0,26.9,26.3,0
15-04-2014,97,85.6,75,73,68.4,61,89,59.6,30,18,4.5,1,26.9,26.9,26.8
16-04-2014,99,88.7,75,75,66.3,55,94,52.4,24,12,6.1,1,26.9,26.8,26.8
17-04-2014,99,87.7,79,77,67.1,52,94,54,22,14,6.2,1,26.9,26.8,26.7
18-04-2014,100,86.8,0,72,64.5,0,78,48.8,0,10,4.9,1,26.9,26.3,0
19-04-2014,100,89.2,79,72,64.3,54,78,47.5,21,12,5.7,1,26.9,26.9,26.8
20-04-2014,100,87.3,72,72,52.6,34,83,37.3,10,15,5.6,0,26.9,26.8,26.8
21-04-2014,100,87.6,70,66,51.3,34,73,34.5,10,14,6.2,0,26.9,26.9,26.8
22-04-2014,100,88.1,72,68,53.9,39,74,37.5,12,16,7,0,26.9,26.9,26.8
23-04-2014,100,86.6,72,70,55.6,43,78,40.5,14,12,4.8,0,26.9,26.9,26.8
24-04-2014,102,88.6,72,73,57.8,45,73,40,14,12,4.2,0,26.9,26.8,26.8
25-04-2014,102,90.9,77,79,65.2,55,89,46.8,22,10,5.4,1,26.9,26.8,26.8
26-04-2014,102,91.6,81,77,66.1,55,84,46.6,22,12,6,1,26.9,26.8,26.7
27-04-2014,100,90.1,81,77,66.9,55,84,49.4,22,9,4.8,0,26.9,26.9,26.8
28-04-2014,102,90.4,79,79,62.7,52,89,43.8,18,14,5.8,1,26.9,26.8,26.8
29-04-2014,102,90.2,77,73,62,52,74,42.8,18,12,6,0,26.9,26.8,26.7
30-04-2014,100,92.2,79,73,63.6,57,83,41.9,25,10,5.7,0,26.9,26.8,26.7
01-05-2014,100,90.3,79,77,65.5,57,94,47.1,25,13,6.5,1,26.9,26.8,26.7
02-05-2014,100,89.6,81,77,68.1,61,89,52.1,27,15,6.8,1,26.8,26.8,26.7
03-05-2014,99,88.3,79,77,68.8,57,94,56.7,25,17,7,1,26.9,26.8,26.7
04-05-2014,99,88.5,77,77,68.9,59,89,56.9,28,15,7.5,0,26.9,26.8,26.7
05-05-2014,97,87.4,79,77,70.2,63,94,60,32,15,8.4,3,26.9,26.8,26.7
06-05-2014,91,83.9,77,79,73.9,70,100,74.5,49,18,10.1,2,26.9,26.8,26.8
07-05-2014,90,82.3,75,77,73.9,70,100,78.2,52,17,12.2,3,26.9,26.8,26.8
08-05-2014,88,80.1,75,79,74.5,72,100,84.6,62,21,10.9,5,26.8,26.8,26.7
09-05-2014,88,81.5,75,79,75.6,73,100,83.7,62,21,11.6,6,26.8,26.8,26.7
10-05-2014,97,86.2,75,77,71.8,66,100,65.1,39,13,8.1,2,26.9,26.8,26.7
11-05-2014,99,87.9,77,77,67.7,57,94,55.5,28,12,6.1,1,26.9,26.9,26.8
12-05-2014,100,91.1,77,73,62.2,57,83,41,24,9,5.5,2,26.9,26.8,26.8
13-05-2014,100,91.1,81,75,65.4,59,79,45.7,25,13,6,0,26.9,26.8,26.8
14-05-2014,99,90.7,81,72,61.3,55,74,40.7,24,15,7.8,1,26.9,26.8,26.8
15-05-2014,99,89.3,79,73,63.2,54,79,46.1,22,12,7.4,2,26.9,26.8,26.7
16-05-2014,99,88.9,0,73,62.6,0,83,44.1,0,12,7.4,2,26.8,26.8,26.7
17-05-2014,97,85,79,77,71.9,63,94,68.5,32,20,8.3,2,26.9,26.8,26.8
18-05-2014,99,89.3,79,75,68.4,61,84,53,30,10,5.1,0,26.9,26.8,26.8
19-05-2014,102,87.3,77,79,71.1,57,100,65,24,14,6.8,1,26.9,26.8,26.7
20-05-2014,97,81.9,64,77,74,64,100,80.5,39,35,8.4,1,26.9,26.8,26.7
21-05-2014,95,86,75,79,73.2,68,100,67.8,41,18,8,1,26.8,26.8,26.7
22-05-2014,97,88,79,77,72.3,66,89,62.3,37,14,10.1,3,26.8,26.2,0
23-05-2014,100,89.9,79,79,72.2,63,94,59.8,30,15,9.7,2,26.8,26.8,26.7
24-05-2014,99,88.6,73,77,69.2,61,89,56.1,29,16,9,1,26.8,26.8,26.7
25-05-2014,97,87.8,77,77,69.9,63,89,58.5,32,16,11.2,2,26.8,26.8,26.7
26-05-2014,97,86.5,0,77,71.5,0,94,60.9,0,14,6,0,26.8,26.2,0
27-05-2014,99,82.4,73,79,74.4,68,100,79.2,39,17,8.3,2,26.9,26.8,26.7
28-05-2014,95,86.5,75,81,72.3,64,100,65.9,38,17,6.8,1,26.9,26.8,26.7
29-05-2014,97,87.2,77,75,71.6,64,94,62.7,34,14,7.7,2,26.9,26.8,26.8
30-05-2014,97,87.6,77,75,71.7,64,94,61.7,34,14,8.2,3,26.9,26.8,26.7
31-05-2014,99,88.6,77,75,71.1,66,94,58.9,37,21,8.3,2,26.8,26.8,26.7
01-06-2014,99,87.9,75,77,71.5,64,100,61.2,32,14,7.2,2,26.8,26.8,26.7
02-06-2014,99,84.1,73,77,73.4,68,100,74.7,37,31,10.4,2,26.8,26.8,26.7
03-06-2014,90,82.5,75,79,75,72,100,79.3,55,13,6.2,1,26.8,26.2,0
04-06-2014,93,86,77,79,74.9,70,100,71.3,49,15,7.9,0,26.8,26.2,0
05-06-2014,93,84.5,73,77,74,70,100,72.9,46,24,9.7,1,26.8,26.7,26.6
06-06-2014,93,85.3,75,79,75.6,72,100,74.3,55,17,11.3,7,26.8,26.7,26.6
07-06-2014,93,85.8,79,77,75.4,73,94,73.3,52,15,12.8,9,26.8,26.7,26.6
08-06-2014,95,86.1,79,77,75.2,73,89,71.7,49,17,14.1,10,26.7,26.7,26.6
09-06-2014,90,83.8,79,75,73.5,72,89,72.5,59,23,14.1,1,26.8,26.7,26.7
10-06-2014,90,84.5,79,75,72.6,70,89,68.7,55,22,16.1,10,26.8,26.7,26.7
11-06-2014,93,85.9,77,77,73.8,70,100,69.1,46,21,14.5,10,26.8,26.7,26.7
12-06-2014,93,76.6,0,77,66,0,94,62.9,0,21,14.5,0,26.8,24.2,0
13-06-2014,93,83.3,77,77,72.7,70,94,72.3,46,31,14.8,9,26.8,26.8,26.7
14-06-2014,91,84,75,75,71.8,68,94,69,46,24,14.8,8,26.8,26.8,26.7
15-06-2014,91,84.1,77,73,71.8,68,89,67.7,49,20,13.7,8,26.8,26.8,26.7
16-06-2014,93,84.9,75,73,69.9,63,94,63.3,36,21,16.2,10,26.8,26.8,26.7
17-06-2014,91,83.8,75,73,71.5,68,94,67.7,46,22,16.7,9,26.8,26.8,26.7
18-06-2014,90,82.4,77,77,72.3,68,94,73,49,28,17.8,12,26.8,26.7,26.7
19-06-2014,91,82.9,77,73,71.8,68,89,70.9,46,24,17.5,12,26.8,26.7,26.7
20-06-2014,91,83.8,77,73,71.9,70,89,68.9,49,25,18.9,14,26.8,26.8,26.7
21-06-2014,93,83.5,77,75,71.9,68,89,69.5,44,25,16.2,0,26.9,26.8,26.8
22-06-2014,93,84.2,75,75,71.4,66,100,68.4,41,23,15.1,7,26.9,26.8,26.8
23-06-2014,93,84.3,75,75,71.2,68,100,66.1,46,20,14,7,26.9,26.8,26.8
24-06-2014,95,85.3,77,73,69.3,64,89,61,36,18,13.8,10,26.8,26.8,26.7
25-06-2014,93,85.1,77,73,69,63,89,60.6,36,18,13.6,8,26.8,26.8,26.7
26-06-2014,95,86.2,75,75,68.3,61,89,58.1,34,16,9.4,2,26.8,26.8,26.8
27-06-2014,95,87.1,79,75,69.8,64,84,58.4,36,14,7.1,0,26.9,26.8,26.8
28-06-2014,97,83.8,77,81,74.8,68,100,77.5,39,18,8,2,26.9,26.8,26.7
29-06-2014,93,84.1,77,79,75.7,72,100,78,49,14,8.9,3,26.8,26.8,26.7
30-06-2014,93,85.6,79,77,74.1,70,94,70.7,46,24,9.6,2,26.8,26.8,26.7
01-07-2014,93,83.8,77,77,72.1,68,94,70.5,44,15,10.6,1,26.9,26.8,26.8
02-07-2014,93,84.5,77,75,72.2,70,94,68,46,17,11.7,5,26.9,26.8,26.8
03-07-2014,93,84.6,75,73,69.2,64,94,62.2,41,16,12.5,7,26.8,26.8,26.7
04-07-2014,91,83.5,75,73,71.4,68,89,68.3,46,17,12.6,8,26.8,26.7,26.7
05-07-2014,90,82.1,75,75,72.8,72,94,75.5,55,20,12,8,26.8,26.8,26.7
06-07-2014,86,80,77,77,73.7,70,94,82.5,66,15,11.1,8,26.8,26.8,26.8
07-07-2014,90,81.1,75,77,73,70,94,77.6,55,18,12.6,5,26.8,26.8,26.7
08-07-2014,88,80.7,75,73,72.1,70,94,75.8,58,20,12.5,7,26.8,26.8,26.7
09-07-2014,90,79.4,0,77,72.3,0,100,79.2,0,28,14.5,8,26.8,26.3,0
10-07-2014,88,77.7,73,77,73.5,72,100,87.9,58,23,14,8,26.8,26.8,26.7
11-07-2014,88,79.8,75,75,72.2,70,100,78.7,55,26,18.1,10,26.8,26.8,26.7
12-07-2014,91,80.5,75,77,72.6,66,100,79.2,43,25,16,0,26.8,26.8,26.7
13-07-2014,84,79.1,75,77,75.1,73,100,88.5,74,21,15.4,10,26.8,26.7,26.7
14-07-2014,88,80.9,77,77,72.7,70,100,77.7,55,22,16.2,12,26.8,26.7,26.7
15-07-2014,86,80.2,77,73,72.8,72,89,79.5,62,25,16.8,9,26.8,26.7,26.7
16-07-2014,90,81.6,75,73,72.3,70,94,74.3,55,26,17.7,12,26.8,26.8,26.7
17-07-2014,90,82.1,75,73,71.7,70,94,71.6,52,28,17.6,10,26.8,26.8,26.7
18-07-2014,90,81.7,75,75,72,68,89,73.7,52,24,17.3,10,26.8,26.8,26.7
19-07-2014,88,80.6,77,73,72.6,72,89,77.4,58,24,17.5,13,26.8,26.8,26.7
20-07-2014,90,81.9,77,73,72.3,70,89,73.7,52,28,20.1,14,26.8,26.8,26.7
21-07-2014,90,82.5,77,73,71.8,70,89,71,52,28,17.6,0,26.8,26.3,0
22-07-2014,91,81.2,75,75,72.2,66,94,76.5,43,26,16.3,9,26.8,26.8,26.7
23-07-2014,90,80.3,75,75,72.4,68,94,78.4,49,28,18,12,26.8,26.8,26.7
24-07-2014,90,81.8,75,73,71.8,68,94,73.2,49,24,17.5,10,26.9,26.8,26.7
25-07-2014,91,80.4,0,79,74.7,0,100,82.6,0,20,11.3,5,26.9,25.5,0
26-07-2014,93,81.1,0,79,73,0,100,76.7,0,18,11.7,0,26.9,26.3,0
27-07-2014,91,81.7,75,77,75.4,73,94,82.5,59,17,10.6,9,26.9,26.8,26.8
28-07-2014,90,81.9,75,77,72.5,66,94,75,46,20,14.7,12,26.8,26.8,26.7
29-07-2014,91,83.5,75,73,70.1,66,94,65.8,46,28,18.7,14,26.8,26.8,26.7
30-07-2014,90,81.2,75,75,72.4,70,89,76,52,29,19.3,12,26.8,26.8,26.7
31-07-2014,90,83.2,77,75,72.8,72,89,72,55,22,17.5,13,26.8,26.8,26.7
01-08-2014,90,82,77,77,73.6,72,100,77.7,55,22,15.4,10,26.8,26.8,26.7
02-08-2014,90,81.9,77,73,72.7,72,89,75.2,55,22,15.8,0,26.8,26.8,26.7
03-08-2014,91,81.2,75,77,74.1,70,94,81.2,49,26,15.3,8,26.8,26.8,26.7
04-08-2014,90,81.2,75,77,74,72,100,80.7,55,21,14.9,7,26.8,26.7,26.7
05-08-2014,88,81.1,77,75,72.8,72,94,77.2,58,22,16.2,12,26.8,26.8,26.7
06-08-2014,90,82.2,75,73,72.3,70,94,73.5,52,24,16.5,12,26.8,26.8,26.7
07-08-2014,90,81.5,77,73,72.5,70,89,75.6,52,18,13.6,9,26.8,26.8,26.7
08-08-2014,88,79.8,75,77,73.5,72,100,82.7,58,18,11.9,6,26.8,26.8,26.7
09-08-2014,90,80.2,75,77,73.9,70,100,83,55,16,10.7,2,26.9,26.8,26.7
10-08-2014,90,81,75,77,74.2,72,100,81.8,55,18,11.2,3,26.9,26.8,26.8
